7.988826815642458001e-01,1.468768792524354865e+02,1.047510337986434621e+02
8.212290502793295754e-01,1.543775966060448468e+02,1.107690165482140543e+02
6.201117318435753756e-01,1.023061525908548219e+02,9.112368443419353525e+01
6.871508379888268125e-01,1.534653108839081028e+02,1.216415430157788506e+02
8.044692737430167995e-01,1.271784362857884219e+02,9.463827916222641079e+01
7.821229050279329131e-01,1.441158768628034466e+02,1.013151204468684625e+02
7.374301675977653625e-01,1.798688597531713924e+02,1.396818573310550846e+02
8.268156424581005748e-01,1.827681310924731690e+02,1.456538612209736812e+02
7.206703910614524755e-01,1.685756821397809802e+02,1.274340216400339472e+02
8.100558659217876878e-01,1.416247973570212935e+02,1.016219591177795962e+02
